URLs;Identifies;Mode_de_decouverte;Plateformes
http://lesmeconnus.net/;oui;repertoire_des_ecritures_num;
http://lesmotsdazur.e-monsite.com/#;oui;autre;e-monsite
http://lesmotsdazur.e-monsite.com/pages/la-panier-a-poemes/page-1.html;oui;methodologie;e-monsite
http://lesmotsdenatacha.overblog.com/;oui;methodologie;
http://lesmotsdesmarees.blogspot.com/;oui;methodologie;blogspot
http://lesmotsplusgrands.over-blog.com/;oui;methodologie;over-blog
http://lesmotsplusgrandsquenous.over-blog.com/;oui;methodologie;over-blog
http://lesmotsplusgrandsquenous.over-blog.com/2014/07/valerie-canat-de-chizy-poemes.html;oui;methodologie;over-blog
http://lesnuitsechouees.blogspot.com/;oui;methodologie;blogspot
http://lespetitsvillages.blogspot.ca/;oui;repertoire_des_ecritures_num;blogspot
http://les-poemes-de-pandora.over-blog.com/;oui;methodologie;over-blog
http://lesptitsmotsdits.com/les-ptits-mots-dits-blogue-litterature-jeunesse/;oui;repertoire_des_ecritures_num;
http://lesptitspismoe.tumblr.com/?og=1;oui;repertoire_des_ecritures_num;tumblr
http://lessansciel.hautetfort.com/;oui;methodologie;hautetfort
http://lestasdemots.blogspot.com/;oui;methodologie;blogspot
http://lesvidanges.blogspot.ca/;oui;repertoire_des_ecritures_num;blogspot
http://lettresdamourasibelle.blogspot.com/;oui;repertoire_des_ecritures_num;blogspot
http://lettresphilomene.over-blog.com/;oui;methodologie;over-blog
http://lichen-poesie.blogspot.com/;oui;methodologie;blogspot
http://lichen-poesie.blogspot.com/p/abia-dasein.html;oui;methodologie;blogspot
http://lichen-poesie.blogspot.com/p/adlyne-bonhomme.html;oui;cartoweb_JP;blogspot
http://lichen-poesie.blogspot.com/p/marianne-desroziers.html;oui;methodologie;blogspot
http://liminaire.fr/;oui;methodologie;
http://linda-bastide.c.la/;oui;methodologie;
http://linerouge.blogspot.com/;oui;methodologie;blogspot
http://litterairesaprestout.blogspot.com/;oui;repertoire_des_ecritures_num;blogspot
http://longueroye.free.fr/pos12mil.php;oui;methodologie;
http://lora-zepam.blogspot.ca/;oui;repertoire_des_ecritures_num;blogspot
http://louisevachon.blogspot.com/;oui;methodologie;blogspot
http://lubies.hautetfort.com/;oui;methodologie;hautetfort
http://lucasfeline.unblog.fr/;oui;methodologie;unblog
http://lucette.desvignes.over-blog.com/;oui;autre;over-blog
http://luciensuel.blogspot.com/;oui;methodologie;blogspot
http://lucierenaud.blogspot.com/;oui;repertoire_des_ecritures_num;blogspot
http://luminitzatigirlas.eklablog.com/;oui;methodologie;eklablog
http://macada.eklablog.com/;oui;methodologie;eklablog
http://madamechose.com/;oui;repertoire_des_ecritures_num;
http://magali.duru.over-blog.com/article-23294426.html;oui;methodologie;over-blog
http://mainichi.jp/english/english/features/haiku/etc/pdf/MainichiHaikuContest2008.pdf;oui;methodologie;pdf
http://malika-madi.blogspot.com/2013/06/il-est-encore-possible-dy-participer.html;oui;cartoweb_JP;blogspot
http://manucausse.blogspot.com/;oui;autre;blogspot
http://maplumesurlacommode.blogspot.com/;oui;methodologie;blogspot
http://marcalpozzo.blogspirit.com/;oui;methodologie;blogspirit
http://marge-ougreve.eklablog.com/;oui;methodologie;eklablog
http://margezen.over-blog.com/;oui;methodologie;over-blog
http://maria.tirenescu.over-blog.com/article-concours-annuel-de-poemes-haiku-125354225.html;oui;methodologie;over-blog
http://mariannedesroziers.blogspot.com/;oui;methodologie;blogspot
http://mariannedesroziers.blogspot.com/2016/04/vases-communicants-avec-christophe.html;oui;methodologie;blogspot
http://mariannejaegle.over-blog.fr/article-aujourd-hui-j-accueille-brigitte-celerier-sur-ce-blog-a-l-occasion-des-vases-communicants-de-mai-49931272.html;oui;methodologie;over-blog
http://mariannejaegle.over-blog.fr/article-j-accueille-franck-queyraud-a-l-occasion-des-vases-communiquants-66382496.html;oui;methodologie;over-blog
http://marjorietixier.blogspot.com/;oui;autre;blogspot
http://martinemrichard.fr/blog/;oui;methodologie;
http://maximecoton.net/;oui;cartoweb_JP;
http://melange-instable.blogspot.ca/;oui;repertoire_des_ecritures_num;blogspot
http://memoireduvent.canalblog.com/archives/2009/08/01/14608852.html;oui;methodologie;canalblog
http://mespetitscomsaujourlejour.blogspot.com/;oui;methodologie;blogspot
http://michelhezard.over-blog.com/;oui;methodologie;over-blog
http://micheline-beaudry.tempslibres.org/fr/centre.html;oui;methodologie;
http://millenartsdefis.free.fr/dotclear/index.php;oui;methodologie;
http://millenartsdefis.free.fr/index.html;oui;methodologie;
http://mimiclectik.canalblog.com/;oui;methodologie;canalblog
http://minhtriet.paris.free.fr/haiku/Ploc_revue_haiku_numero_49.pdf;oui;methodologie;pdf
http://minotaura.unblog.fr/;oui;methodologie;unblog
http://mobilhome.over-blog.org/;oui;autre;over-blog
http://mohe.xanga.com/;oui;methodologie;
http://mokhtarives.blogspot.com/;oui;autre;blogspot
http://monnuage.free.fr/;oui;methodologie;
http://monsieurchristie.blogspot.com/;oui;repertoire_des_ecritures_num;blogspot
http://moritchum.blogspot.com/;oui;methodologie;blogspot
http://motmaquis.net/;oui;repertoire_des_ecritures_num;
