Source	Target	Weight
DinaBail	myroques	3
DinaBail	foise_cosson	4
DinaBail	SchuurmanFrano2	2
DinaBail	laetirature	2
DinaBail	LeaFbpe	1
DinaBail	SylvieTanette	1
DinaBail	BornrtE	1
DinaBail	magbaq	1
DinaBail	VinceJosse	1
DinaBail	PBALille	1
DinaBail	Aupaysdesbooks	1
DinaBail	robert_laffont	1
DinaBail	BernardLehut	1
acritas29	FrancineBroka	1
acritas29	DidierRoustan	1
acritas29	arnanos	1
acritas29	acritas29	2
acritas29	BernieSanders	1
acritas29	intwittoveritas	1
acritas29	Quotes_PS	1
acritas29	nikorage	1
acritas29	VerseMimi	1
acritas29	DanniSr8	1
acritas29	dfweb75	1
acritas29	EsatogluR	1
acritas29	mxcote	1
acritas29	DVManuello	1
arnanos	Chouny111	1
arnanos	arnanos	7
arnanos	EnfanceetCancer	1
arnanos	GillesHommit	1
JPRhaiku	PrinceMots14	4
JPRhaiku	raphaeldetrie	3
JPRhaiku	hervesors	4
JPRhaiku	BelPhilippe4	25
JPRhaiku	Faustruy	6
JPRhaiku	HaikusDeLuke	1
JPRhaiku	AlexaheinzeA	1
JPRhaiku	an_conda	1
JPRhaiku	K_Prisky	2
JPRhaiku	BorgHerve	4
JPRhaiku	PDansmabul	1
JPRhaiku	letittwitt	3
JPRhaiku	QuatreSoupirs	4
JPRhaiku	NynnJah	2
JPRhaiku	DeschambaultLea	1
JPRhaiku	SamaelOrmesson	1
JPRhaiku	Caprice82965452	1
EcrirePlaisir	EcrirePlaisir	5
JSoyeuse	ChristopheSibe7	1
JSoyeuse	EcrirePlaisir	8
JSoyeuse	Loveroticart	3
JSoyeuse	3sexual	1
JSoyeuse	fran_du_collier	1
JSoyeuse	amrenaudie	1
JSoyeuse	Cattley16674205	1
JSoyeuse	philoli68	2
JSoyeuse	Juste_les_sens	2
JSoyeuse	njeastman	1
JSoyeuse	Philipp10150716	1
JSoyeuse	unknownreazon	1
PierreComandu	ClCharpentier	3
PierreComandu	poemesdujour	59
PierreComandu	TerryandtheBirb	1
PierreComandu	Fish1Milk	1
PierreComandu	ngruszkiewicz	1
PierreComandu	Le_Trema	2
PierreComandu	mxcote	1
PierreComandu	caro_ligne	1
PierreComandu	imhdream	1
PierreComandu	Alyscamps	1
PierreComandu	aldlatour	1
PierreComandu	BienDansMaThese	2
PierreComandu	sirius1936	1
PierreComandu	DVManuello	1
PierreComandu	PierreComandu	1
PierreComandu	dassa_ju	1
PierreComandu	amaisetti	1
PierreComandu	NormandPrevert	1
PierreComandu	DanniSr8	2
JacquesMercier	EditionsRacine	1
josettehersent	f_lebel	20
josettehersent	urlivernenghi	12
josettehersent	madrugada_m	1
josettehersent	vigourtcat	4
josettehersent	eclectante	1
josettehersent	foise_cosson	5
josettehersent	BastienMiret	5
josettehersent	brigetoun	15
josettehersent	theiaisos	7
josettehersent	GrimardC	2
josettehersent	aixlabelle	2
josettehersent	NormandoPhil	1
josettehersent	berclazm	3
josettehersent	Daniel_Red_Eire	1
josettehersent	FabyREVE	3
josettehersent	LapagedeRita	1
josettehersent	coherence_e	1
josettehersent	MomiraMonika	5
josettehersent	TellecheaW	3
josettehersent	van_strael	4
josettehersent	ngruszkiewicz	1
josettehersent	BeatiteBeatrice	1
josettehersent	dhasselmann	2
